RUN_ID,dRAD,A_front,HM_VA,AWD,iAG,m_curb,Achsabstand,h_s,Gewichtsverteilung,MainAxle_TorqueSplit_int,Hybrid_BFM_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit,Actual_0_to_100,SL_time_0_to_100,error,pct_error,pass_fail,group
1,0.66,2.67468,0,0,3.09,1504,2.82,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.35,1995,Turbo,0.0,0,0,0,0,0,1000,6500,66.0,330,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.6,6.955,0.3550000000000004,5.378787878787886,PASS,G2_5to7s
4,0.716,3.179913,1,1,3.73,1735,2.818,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1995,Turbo,0.0,0,0,0,0,0,1000,6500,80.0,400,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.7,6.275,0.5750000000000002,10.087719298245617,FAIL,G2_5to7s
14,0.657,2.45403,1,1,3.9,1705,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.92, 2.04, 1.36, 1.05, 0.85, 0.74]",6,0.35,2198,,0.0,0,0,0,0,0,1000,6500,64.4,322,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.8,7.08,0.28000000000000025,4.117647058823533,PASS,G2_5to7s
18,0.652,2.63407,1,0,3.83,1395,2.634,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.9, 2.12, 1.48, 1.12, 0.9, 0.77]",6,0.35,1368,Turbo,0.0,0,0,0,0,0,1000,6500,68.0,340,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.8,7.25,0.4500000000000002,6.6176470588235325,PASS,G2_5to7s
24,0.657,2.41194,1,0,3.09,1765,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.92, 2.04, 1.36, 1.05, 0.85, 0.74]",6,0.1,1742,Turbo,0.0,0,0,0,0,0,1000,6500,64.4,322,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.8,7.385,0.585,8.602941176470589,PASS,G2_5to7s
25,0.657,2.41194,1,1,3.9,1765,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.92, 2.04, 1.36, 1.05, 0.85, 0.74]",6,0.6,3195,,0.0,0,0,0,0,0,1000,6500,64.4,322,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.0,7.595,0.5949999999999998,8.499999999999996,PASS,G2_5to7s
26,0.645,2.41194,1,1,3.75,1785,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.15, 2.37, 1.56, 1.16, 0.86, 0.69]",6,0.35,3195,,0.0,0,0,0,0,0,1000,6500,64.4,322,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.0,7.325,0.3250000000000002,4.642857142857145,PASS,G2_5to7s
27,0.619,2.30166,0,0,2.93,1330,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.6,2997,,0.0,0,0,0,0,0,1000,7000,64.0,320,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.1,5.995,-0.10499999999999954,-1.7213114754098284,PASS,G2_5to7s
28,0.619,2.30166,0,0,2.93,1330,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,2997,,0.0,0,0,0,0,0,1000,7000,66.0,330,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.9,5.89,-0.010000000000000675,-0.16949152542374024,PASS,G2_5to7s
29,0.619,2.30166,0,0,2.93,1490,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,2997,,0.0,0,0,0,0,0,1000,7000,82.0,410,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.8,5.33,-0.46999999999999975,-8.103448275862064,PASS,G2_5to7s
30,0.619,2.30166,0,0,2.79,1500,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,3152,,0.0,0,0,0,0,0,1000,7000,94.0,470,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.6,5.21,-0.3899999999999997,-6.964285714285709,PASS,G2_5to7s
31,0.619,2.30166,0,0,2.93,1450,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.6,4619,,0.0,0,0,0,0,0,1000,6500,64.0,320,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.8,6.25,-0.5499999999999998,-8.088235294117645,PASS,G2_5to7s
32,0.619,2.27088,0,0,2.93,1450,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,2997,,0.0,0,0,0,0,0,1000,7000,66.0,330,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.6,6.07,-0.5299999999999994,-8.03030303030302,PASS,G2_5to7s
33,0.619,2.27088,0,0,2.79,1610,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,2997,,0.0,0,0,0,0,0,1000,7000,94.0,470,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.8,5.325,-0.47499999999999964,-8.189655172413786,PASS,G2_5to7s
34,0.619,2.27088,0,0,2.93,1330,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.6,4619,,0.0,0,0,0,0,0,1000,6500,64.0,320,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.1,6.04,-0.05999999999999961,-0.9836065573770428,PASS,G2_5to7s
36,0.619,2.331354,0,0,2.93,1330,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,2997,,0.0,0,0,0,0,0,1000,7000,66.0,330,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.9,5.8950000000000005,-0.004999999999999893,-0.0847457627118626,PASS,G2_5to7s
37,0.619,2.331354,0,0,2.93,1330,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.8,2997,,0.0,0,0,0,0,0,1000,7000,58.6,293,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.9,6.345,-0.5550000000000006,-8.043478260869573,PASS,G2_5to7s
38,0.619,2.331354,0,0,2.93,1490,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,3152,,0.0,0,0,0,0,0,1000,7000,82.0,410,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.8,5.335,-0.46499999999999986,-8.017241379310343,PASS,G2_5to7s
39,0.619,2.331354,0,0,2.93,1380,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.2, 2.49, 1.67, 1.24, 1.0]",5,0.6,3982,,0.0,0,0,0,0,0,1000,6500,64.0,320,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.2,6.13,-0.07000000000000028,-1.1290322580645207,PASS,G2_5to7s
40,0.619,2.327958,0,0,2.93,1380,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.51, 1.67, 1.23, 1.0, 0.83]",6,0.6,2997,,0.0,0,0,0,0,0,1000,7000,66.0,330,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,6.0,5.965,-0.03500000000000014,-0.5833333333333357,PASS,G2_5to7s
