RUN_ID,dRAD,A_front,HM_VA,AWD,iAG,m_curb,Achsabstand,h_s,Gewichtsverteilung,MainAxle_TorqueSplit_int,Hybrid_BFM_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit,Actual_0_to_100,SL_time_0_to_100,error,pct_error,pass_fail,group
3,0.716,3.179913,1,1,3.09,1735,2.818,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.35,1995,Turbo,0.0,0,0,0,0,0,1000,6500,66.0,330,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.2,7.83,0.6299999999999999,8.749999999999998,PASS,G3_7to10s
8,0.657,2.599416,1,0,4.18,1505,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,1796,,0.0,0,0,0,0,0,1000,6500,64.0,320,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.7,7.98,0.28000000000000025,3.63636363636364,PASS,G3_7to10s
9,0.657,2.654256,1,0,4.18,1555,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,1796,,0.0,0,0,0,0,0,1000,6500,64.0,320,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.9,8.065,0.16499999999999915,2.0886075949366982,PASS,G3_7to10s
12,0.657,2.45403,1,0,3.09,1705,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.92, 2.04, 1.36, 1.05, 0.85, 0.74]",6,0.6,1742,Turbo,0.0,0,0,0,0,0,1000,6500,64.0,320,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.7,8.025,0.3250000000000002,4.220779220779223,PASS,G3_7to10s
13,0.657,2.45403,1,0,4.18,1545,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.82, 2.35, 1.57, 1.15, 0.94, 0.86]",6,0.6,1742,Turbo,0.0,0,0,0,0,0,1000,6500,46.0,230,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,8.6,8.6,0.0,0.0,PASS,G3_7to10s
16,0.652,2.63407,1,0,3.83,1365,2.634,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.9, 2.12, 1.48, 1.12, 0.9, 0.77]",6,0.6,1368,Turbo,0.0,0,0,0,0,0,1000,6500,50.0,250,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,8.2,8.705,0.5050000000000008,6.158536585365864,PASS,G3_7to10s
17,0.652,2.63407,1,0,3.83,1365,2.634,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.9, 2.12, 1.48, 1.12, 0.9, 0.77]",6,0.6,1368,Turbo,0.0,0,0,0,0,0,1000,6500,46.0,230,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.8,8.365,0.5650000000000004,7.243589743589748,PASS,G3_7to10s
19,0.643,2.408258,1,0,3.73,1395,2.596,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.91, 2.24, 1.52, 1.16, 0.92]",5,0.6,1747,,0.0,0,0,0,0,0,1000,6500,41.2,206,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,8.7,8.8,0.10000000000000142,1.1494252873563382,PASS,G3_7to10s
23,0.657,2.41194,1,0,4.18,1705,2.528,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,1742,Turbo,0.0,0,0,0,0,0,1000,6500,64.0,320,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.8,8.325,0.5249999999999995,6.730769230769224,PASS,G3_7to10s
35,0.619,2.331354,0,0,3.64,1330,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.67, 2.0, 1.41, 1.0, 0.74]",5,1.2,2997,,0.0,0,0,0,0,0,1000,7000,64.0,320,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,7.1,6.5600000000000005,-0.5399999999999991,-7.6056338028168895,PASS,G3_7to10s
