RUN_ID,dRAD,A_front,HM_VA,AWD,iAG,m_curb,Achsabstand,h_s,Gewichtsverteilung,MainAxle_TorqueSplit_int,Hybrid_BFM_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit,Actual_0_to_100,SL_time_0_to_100,error,pct_error,pass_fail,group
2,0.66,2.67468,0,0,3.09,1670,2.82,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.05, 2.4, 1.58, 1.19, 1.0, 0.87]",6,0.1,1995,Turbo,0.0,0,0,0,0,0,1000,6500,120.0,600,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,3.9,4.24,0.3400000000000003,8.717948717948726,PASS,G1_lt5s
5,0.716,3.179913,1,1,3.09,1905,2.818,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.82, 0.64]",8,0.06,1995,Turbo,0.0,0,0,0,0,0,1000,6500,120.0,600,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,3.8,5.205,1.4050000000000002,36.97368421052632,FAIL,G1_lt5s
10,0.631,2.205112,0,0,4.12,1074,2.38,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.9, 2.27, 1.45, 0.98, 0.75, 0.62]",6,0.2,1742,Turbo,0.0,0,0,0,0,0,1000,6500,70.0,350,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,4.5,4.94,0.4400000000000004,9.777777777777787,PASS,G1_lt5s
11,0.667,2.474736,0,0,3.09,1750,2.645,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.21, 2.05, 1.44, 1.11, 0.9, 0.76]",6,0.6,4691,,0.0,0,0,0,0,0,1000,9000,94.0,470,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,4.5,4.385,-0.11500000000000021,-2.5555555555555602,PASS,G1_lt5s
56,0.648,2.48589,0,0,3.46,1560,2.76,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,2979,Turbo,1.1,0,0,0,0,0,1000,7000,100.0,500,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,4.8,4.855,0.055000000000000604,1.145833333333346,PASS,G1_lt5s
57,0.648,2.48589,1,1,3.46,1670,2.76,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.2,2979,Turbo,1.1,0,0,0,0,0,1000,7000,100.0,500,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,4.9,5.325,0.4249999999999998,8.673469387755098,PASS,G1_lt5s
58,0.648,2.48589,0,0,3.46,1535,2.76,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,2979,Turbo,1.1,0,0,0,0,0,1000,7000,108.0,540,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,4.5,4.715,0.21499999999999986,4.777777777777774,PASS,G1_lt5s
59,0.648,2.51262,0,0,3.46,1560,2.76,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.35,2979,Turbo,1.1,0,0,0,0,0,1000,7000,108.0,540,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,4.7,4.735,0.03500000000000014,0.7446808510638327,PASS,G1_lt5s
60,0.648,2.48589,1,1,3.46,1670,2.76,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.1,2979,Turbo,0.0,0,0,0,0,0,1000,7000,108.0,540,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,4.7,5.17,0.46999999999999975,9.999999999999995,PASS,G1_lt5s
61,0.648,2.51262,0,0,3.46,1770,2.76,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.17, 2.34, 1.52, 1.14, 0.87, 0.69]",6,0.2,2979,Turbo,0.0,0,0,0,0,0,1000,7000,100.0,500,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,5.0,5.3950000000000005,0.39500000000000046,7.90000000000001,PASS,G1_lt5s
