RUN_ID,dRAD,A_front,HM_VA,AWD,iAG,m_curb,Achsabstand,h_s,Gewichtsverteilung,MainAxle_TorqueSplit_int,Hybrid_BFM_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit,Actual_0_to_100,SL_time_0_to_100,error,pct_error,pass_fail,group
6,0.615,2.488031,1,0,3.71,1285,2.546,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.91, 2.24, 1.52, 1.16, 0.97]",5,0.6,1598,,0.0,0,0,0,0,0,1000,6500,28.0,140,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,11.3,10.97,-0.33000000000000007,-2.920353982300885,PASS,G4_10to13s
7,0.615,2.488031,1,0,4.07,1275,2.546,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.91, 2.24, 1.52, 1.16, 0.92]",5,0.6,1598,,0.0,0,0,0,0,0,1000,6500,29.2,146,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.6,10.185,-0.41499999999999915,-3.915094339622634,PASS,G4_10to13s
15,0.652,2.63407,1,0,3.83,1355,2.634,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.9, 2.12, 1.48, 1.12, 0.9, 0.77]",6,0.6,1368,Turbo,0.0,0,0,0,0,0,1000,6500,41.2,206,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.6,10.870000000000001,0.27000000000000135,2.5471698113207677,PASS,G4_10to13s
20,0.615,2.48712,1,0,4.18,1205,2.511,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,875,Turbo,0.0,0,0,0,0,0,1000,6500,29.0,145,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,12.5,11.75,-0.75,-6.0,PASS,G4_10to13s
21,0.615,2.48712,1,0,4.18,1205,2.511,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.8,875,Turbo,0.0,0,0,0,0,0,1000,6500,29.0,145,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,11.4,10.450000000000001,-0.9499999999999993,-8.333333333333327,PASS,G4_10to13s
22,0.615,2.48712,1,0,4.18,1165,2.511,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.82, 2.16, 1.48, 1.07, 0.88, 0.74]",6,0.6,1368,Turbo,0.0,0,0,0,0,0,1000,6500,26.0,130,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.7,10.46,-0.23999999999999844,-2.242990654205593,PASS,G4_10to13s
200,0.621,2.46384,1,0,3.63,1115,2.469,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.77, 1.96, 1.28, 0.93, 0.74]",5,0.6,999,Turbo,1.4,0,0,0,0,0,1000,6200,32.0,160,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,11.7,10.965,-0.7349999999999994,-6.2820512820512775,PASS,G4_10to13s
202,0.6345,2.475845,1,0,4.25,1090,2.513,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.46, 1.94, 1.37, 1.03, 0.85]",5,0.8,1595,,0.0,0,0,0,0,0,1000,6500,29.0,145,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,11.0,10.09,-0.9100000000000001,-8.272727272727275,PASS,G4_10to13s
203,0.6345,2.475845,1,0,4.25,1090,2.513,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.46, 1.94, 1.37, 1.03, 0.85]",5,0.8,1595,,0.0,0,0,0,0,0,1000,6500,29.6,148,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.9,9.995000000000001,-0.9049999999999994,-8.302752293577974,PASS,G4_10to13s
206,0.6345,2.51336,1,0,3.09,1485,2.578,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.62, 1.96, 1.28, 0.97, 0.78, 0.65]",6,0.6,1197,Turbo,0.0,0,0,0,0,0,1000,6200,40.0,200,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,10.7,9.84,-0.8599999999999994,-8.037383177570089,PASS,G4_10to13s
