RUN_ID,dRAD,A_front,HM_VA,AWD,iAG,m_curb,Achsabstand,h_s,Gewichtsverteilung,MainAxle_TorqueSplit_int,Hybrid_BFM_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit,Actual_0_to_100,SL_time_0_to_100,error,pct_error,pass_fail,group
352,0.5961,2.367915,1,0,4.11,1030,2.546,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.54, 1.86, 1.16, 0.84]",4,1.2,1595,,0.0,0,0,0,0,0,1000,6500,23.6,118,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,14.3,12.8,-1.5,-10.48951048951049,FAIL,G5_gt13s
363,0.5961,2.38317,1,0,4.88,1230,2.612,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.78, 2.18, 1.43, 1.03, 0.79]",5,1.2,1595,,0.0,0,0,0,0,0,1000,6500,26.0,130,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,13.4,11.19,-2.210000000000001,-16.49253731343284,FAIL,G5_gt13s
364,0.5961,2.38317,1,0,4.11,1190,2.612,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.54, 1.86, 1.16, 0.89, 0.72]",5,1.2,1595,,0.0,0,0,0,0,0,1000,6500,29.6,148,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,13.6,11.83,-1.7699999999999996,-13.014705882352938,FAIL,G5_gt13s
368,0.5776,2.3595,1,0,4.11,1230,2.612,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.54, 1.86, 1.16, 0.89, 0.72]",5,1.2,1984,,0.0,0,0,0,0,0,1000,6500,29.6,148,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,14.1,12.040000000000001,-2.0599999999999987,-14.609929078014176,FAIL,G5_gt13s
559,0.632,2.2701,0,0,4.27,1170,2.57,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.72, 2.02, 1.32, 1.0, 0.81]",5,1.2,1596,,0.0,0,0,0,0,0,1000,6500,28.2,141,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,13.9,10.745000000000001,-3.1549999999999994,-22.6978417266187,FAIL,G5_gt13s
577,0.632,2.2701,0,0,3.45,1355,2.7,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.23, 2.52, 1.66, 1.22, 1.0]",5,1.2,1596,,0.0,0,0,0,0,0,1000,6500,30.0,150,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,13.2,11.605,-1.5949999999999989,-12.083333333333325,FAIL,G5_gt13s
663,0.634,2.306895,0,0,3.46,1445,2.761,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[5.1, 2.77, 1.72, 1.22, 1.0]",5,1.2,2226,Turbo,1.2,0,0,0,0,0,1000,6500,32.4,162,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,13.4,11.505,-1.8949999999999996,-14.141791044776117,FAIL,G5_gt13s
855,0.6215,3.097638,1,0,4.54,1200,2.69,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.64, 1.95, 1.28, 0.98, 0.77]",5,1.2,1360,,0.0,0,0,0,0,0,1000,6500,24.0,120,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,17.5,13.955,-3.545,-20.257142857142856,FAIL,G5_gt13s
856,0.6215,3.097638,1,0,4.54,1200,2.69,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.64, 1.95, 1.28, 0.98, 0.77]",5,1.2,1360,,0.0,0,0,0,0,0,1000,6500,22.2,111,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,17.5,14.085,-3.414999999999999,-19.51428571428571,FAIL,G5_gt13s
858,0.6345,3.097638,1,0,3.79,1245,2.69,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.45, 1.87, 1.28, 0.95, 0.74]",5,1.2,1587,,0.0,0,0,0,0,0,1000,6500,29.4,147,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1,14.4,11.74,-2.66,-18.47222222222222,FAIL,G5_gt13s
