RUN_ID,Vehicle_Name,Source_URL,Powertrain,Raw_Fuel,Raw_Gearbox,Raw_Drive,Raw_Power,Raw_Torque,Raw_SystemPower,Actual_0_to_100_s,Actual_max_speed_kmh,InputQualityScore,InputWarnings,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,h_s,weight_dist,MainAxle_TorqueSplit_int,Hybrid_ICE_priority,HybridArchitectureClass,hybrid_p2_cont_factor,hybrid_p2_shift_factor,VM,EV,Hy,E0,E1,E2,E3,E4,i_GET_EV,i_ges_P4,EV_2speed_enable,i_GET_EV_gear1,i_GET_EV_gear2,i_ges_P4_gear1,i_ges_P4_gear2,ev_shift_v_up_kmh,ev_shift_v_down_kmh,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Transmission_Type,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,tq_EV_max,Pwr_EV_max_kW,n_EV_max,Pwr_EV_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit
1492,Ferrari F80,https://www.auto-motor-und-sport.de/marken-modelle/ferrari/f80/technische-daten/,Hybrid,Super Plus,8-Gang Doppelkupplungsgetriebe,Allradantrieb,662 kW / 900 PS bei 8750 U/min,850 Nm bei 5500 U/min,883 kW / 1200 PS,2.2,350,90,"vehicle name repaired from AMS URL | hybrid e-machine mapped to P4 from rear/AWD/PHEV architecture hint | P4 torque raised from power plausibility: 45.0 -> 844.2 Nm | battery discharge capability raised for electric power plausibility: P_req=221.0 kW, Icell 15.0->60.0 A, n_p=5",0.6345,2.05,1,1,3.7,1525,2.665,0.4,0.75,0.5,1,p4_hybrid_eaxle,1,1,0,0,1,0,0,0,0,0,0,9,0,0,0,9,9,1000000,1000000,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.29, 1, 0.84, 0.67]",8,0.18,dct,2992,Turbo,0.5,0,0,0,1,0,1000,9300,170,850,662,0,0,0,0,0,0,0,0,0,0,0,0,844.22,221,16000,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,60,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",232,5,0.95,0.95,0.1
1496,Ferrari Sf90 Stradale,https://www.auto-motor-und-sport.de/marken-modelle/ferrari/sf90-stradale/technische-daten/,Hybrid,Super Plus,8-Gang Doppelkupplungsgetriebe,Allradantrieb,586 kW / 797 PS bei 7900 U/min,804 Nm bei 6250 U/min,757 kW / 1030 PS,2.3,320,85,"vehicle name repaired from AMS URL | hybrid e-machine mapped to P4 from rear/AWD/PHEV architecture hint | P4 torque raised from power plausibility: 326.6 -> 653.2 Nm | battery voltage estimated | battery discharge capability raised for electric power plausibility: P_req=171.0 kW, Icell 15.0->60.0 A, n_p=9",0.6345,2.05,1,1,3.7,1835,2.65,0.4,0.75,0.5,1,p4_hybrid_eaxle,1,1,0,0,1,0,0,0,0,0,0,9,0,0,0,9,9,1000000,1000000,performance,1,"[4.71, 3.14, 2.11, 1.67, 1.29, 1, 0.84, 0.67]",8,0.18,dct,3990,Turbo,0.5,0,0,0,1,0,1000,8400,160.8,804,586,0,0,0,0,0,0,0,0,0,0,0,0,653.22,171,16000,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,60,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,9,0.95,0.95,0.1
4550,Porsche 918 Spyder (ab 2014),https://www.auto-motor-und-sport.de/marken-modelle/porsche/918/technische-daten/,Hybrid,Super Plus,7-Gang Doppelkupplungsgetriebe,Allradantrieb,447 kW / 608 PS bei 8700 U/min,540 Nm bei 6700 U/min,652 kW / 887 PS,2.6,345,90,"hybrid e-machine mapped to P4 from rear/AWD/PHEV architecture hint | P4 torque raised from power plausibility: 585.0 -> 802.2 Nm | battery voltage estimated | hybrid battery capacity estimated | battery discharge capability raised for electric power plausibility: P_req=210.0 kW, Icell 15.0->60.0 A, n_p=11",0.6345,2.25,1,1,3.09,1750,2.73,0.4,0.75,0.5,1,p4_hybrid_eaxle,1,1,0,0,1,0,0,0,0,0,0,9,0,0,0,9,9,1000000,1000000,performance,1,"[4.38, 2.86, 1.92, 1.37, 1, 0.82, 0.64]",7,0.18,dct,4593,NA,0,0,0,0,1,0,1000,9200,108,540,447,0,0,0,0,0,0,0,0,0,0,0,0,802.2,210,16000,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,60,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,11,0.95,0.95,0.1
4603,Renault Captur E-Tech Plug-in Hybrid (ab 2020),https://www.auto-motor-und-sport.de/marken-modelle/renault/captur/2-generation/technische-daten/,Hybrid,Super Benzin,6-Gang Automatikgetriebe,Vorderradantrieb,69 kW / 94 PS bei 5600 U/min,148 Nm bei 3600 U/min,105 kW / 143 PS,10.6,170,95,"battery voltage estimated | battery discharge capability raised for electric power plausibility: P_req=36.0 kW, Icell 15.0->60.0 A, n_p=2",0.7,2.75,1,0,4.1,1373,2.639,0.4,1.35,0.5,1,series_like_or_complex,0.5,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.4,automatic,1598,Turbo,0.5,0,1,0,0,0,1000,6100,29.6,148,69,0,0,0,0,148,36,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,60,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,2,0.95,0.95,0.1
3655,Nissan X-Trail 1.5 VC-T e-Power (ab 2022),https://www.auto-motor-und-sport.de/marken-modelle/nissan/x-trail/t33/technische-daten/,Hybrid,Super Benzin,1-Gang Automatikgetriebe,Allradantrieb,116 kW / 158 PS bei 4600 U/min,250 Nm bei 2400 U/min,157 kW / 213 PS,7,180,90,"gear count repaired from <=1 for ICE/Hybrid | hybrid e-machine mapped to P4 from rear/AWD/PHEV architecture hint | P4 torque raised from power plausibility: 273.3 -> 448.9 Nm | battery discharge capability raised for electric power plausibility: P_req=141.0 kW, Icell 15.0->60.0 A, n_p=7",0.7,2.75,1,1,3.7,1908,2.705,0.4,1.3,0.5,1,series_like_or_complex,1,1,0,0,1,0,0,0,0,0,0,9,0,0,0,9,9,1000000,1000000,performance,1,"[5, 3.2, 2.14, 1.72, 1.31, 1, 0.82, 0.64]",8,0.35,automatic,1497,Turbo,0.5,0,0,0,1,0,1000,5100,50,250,116,0,0,0,0,0,0,0,0,0,0,0,0,448.85,141,16000,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,60,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",112,7,0.95,0.95,0.1
4604,Renault Captur E-Tech Plug-in Hybrid (ab 2020),https://www.auto-motor-und-sport.de/marken-modelle/renault/captur/2-generation/technische-daten/,Hybrid,Super Benzin,6-Gang Automatikgetriebe,Vorderradantrieb,80 kW / 109 PS bei 5350 U/min,265 Nm bei 3600 U/min,116 kW / 158 PS,8.9,180,95,"battery voltage estimated | battery discharge capability raised for electric power plausibility: P_req=36.0 kW, Icell 15.0->60.0 A, n_p=2",0.7,2.75,1,0,4.1,1441,2.639,0.4,1.35,0.5,1,series_like_or_complex,0.5,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.4,automatic,1789,Turbo,0.5,0,1,0,0,0,1000,5900,53,265,80,0,0,0,0,148,36,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,60,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,2,0.95,0.95,0.1
1490,Ferrari 849 Testarossa,https://www.auto-motor-und-sport.de/marken-modelle/ferrari/849-testarossa/technische-daten/,Hybrid,Super Plus,8-Gang Automatikgetriebe,,611 kW / 830 PS bei 7500 U/min,842 Nm bei 6500 U/min,772 kW / 1050 PS,2.3,330,85,"vehicle name repaired from AMS URL | battery voltage estimated | battery discharge capability raised for electric power plausibility: P_req=161.0 kW, Icell 15.0->60.0 A, n_p=9",0.6345,2.05,0,0,4.1,1570,2.65,0.4,0.75,0.5,1,p2_hev,0.5,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[5, 3.2, 2.14, 1.72, 1.31, 1, 0.82, 0.64]",8,0.35,automatic,0,Turbo,0.5,0,1,0,0,0,1000,8000,168.4,842,611,0,0,0,0,307.51,161,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,60,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,9,0.95,0.95,0.1
2891,Mclaren P1,https://www.auto-motor-und-sport.de/marken-modelle/mclaren/p1/technische-daten/,Hybrid,Super Plus,7-Gang Doppelkupplungsgetriebe,Hinterradantrieb,542 kW / 737 PS bei 7500 U/min,720 Nm bei 4000 U/min,674 kW / 916 PS,2.8,350,80,"vehicle name repaired from AMS URL | battery voltage estimated | hybrid battery capacity estimated | battery discharge capability raised for electric power plausibility: P_req=132.0 kW, Icell 15.0->60.0 A, n_p=7",0.6345,2.05,0,0,4.1,1480,2.67,0.4,0.75,0.5,1,p2_hev,0.5,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[4.38, 2.86, 1.92, 1.37, 1, 0.82, 0.64]",7,0.18,dct,3799,Turbo,0.5,0,1,0,0,0,1000,8000,144,720,542,0,0,0,0,260,132,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,60,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,7,0.95,0.95,0.1
4766,Renault Symbioz E-Tech 145 (ab 2024),https://www.auto-motor-und-sport.de/marken-modelle/renault/symbioz/technische-daten/,Hybrid,Super Benzin,6-Gang Automatikgetriebe,Vorderradantrieb,69 kW / 94 PS bei 4600 U/min,148 Nm bei 3600 U/min,105 kW / 143 PS,10.6,170,100,"battery discharge capability raised for electric power plausibility: P_req=36.0 kW, Icell 15.0->60.0 A, n_p=5",0.7,2.75,1,0,4.1,1498,2.638,0.4,1.35,0.5,1,series_like_or_complex,0.2,0.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.4,automatic,1598,NA,0,0,1,0,0,0,1000,5100,29.6,148,69,0,0,0,0,68.76,36,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,60,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",41,5,0.95,0.95,0.1
4767,Renault Symbioz E-Tech 145 (ab 2024),https://www.auto-motor-und-sport.de/marken-modelle/renault/symbioz/technische-daten/,Hybrid,Super Benzin,6-Gang Automatikgetriebe,Vorderradantrieb,80 kW / 109 PS bei 5600 U/min,265 Nm bei 3600 U/min,116 kW / 158 PS,9.1,180,100,"battery discharge capability raised for electric power plausibility: P_req=36.0 kW, Icell 15.0->60.0 A, n_p=5",0.7,2.75,1,0,4.1,1465,2.638,0.4,1.35,0.5,1,series_like_or_complex,0.2,0.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.4,automatic,1789,Turbo,0.5,0,1,0,0,0,1000,6100,53,265,80,0,0,0,0,68.76,36,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,60,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",41,5,0.95,0.95,0.1
