RUN_ID,Vehicle_Name,Source_URL,Powertrain,Raw_Fuel,Raw_Gearbox,Raw_Drive,Raw_Power,Raw_Torque,Raw_SystemPower,Actual_0_to_100_s,Actual_max_speed_kmh,InputQualityScore,InputWarnings,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,h_s,weight_dist,MainAxle_TorqueSplit_int,Hybrid_ICE_priority,VM,EV,Hy,E0,E1,E2,E3,E4,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Transmission_Type,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,tq_EV_max,Pwr_EV_max_kW,n_EV_max,Pwr_EV_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit
3877,Nissan 350Z Coupé (ab 2007),https://www.auto-motor-und-sport.de/marken-modelle/nissan/350z/technische-daten/,ICE,Super Plus,6-Gang Schaltgetriebe,Hinterradantrieb,206 kW / 280 PS bei 6200 U/min,363 Nm bei 4800 U/min,,6.4,250,100,,0.6345,2.25,0,0,3.54,1710,2.65,0.4,1.1,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.8,manual,3498,NA,0,0,0,0,0,0,1000,6700,72.6,363,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
1054,BMW 535i Gran Turismo,https://www.auto-motor-und-sport.de/marken-modelle/bmw/5er/f10-f11-f07/technische-daten/,ICE,Super Benzin,8-Gang Automatikgetriebe,Allradantrieb,225 kW / 306 PS bei 5800 U/min,400 Nm bei 1200 U/min,,6.3,250,100,,0.6345,2.25,1,1,3.08,2070,3.07,0.4,1.2,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[5, 3.2, 2.14, 1.72, 1.31, 1, 0.82, 0.64]",8,0.35,automatic,2979,Turbo,0.5,0,0,0,0,0,1000,6300,80,400,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
4825,Renault 5 C (ab 1986),https://www.auto-motor-und-sport.de/marken-modelle/renault/5/2-generation/technische-daten/,ICE,Super Benzin,4-Gang Schaltgetriebe,Vorderradantrieb,30 kW / 41 PS bei 5750 U/min,63 Nm bei 3000 U/min,,NaN,NaN,92,mass fallback,0.6345,2.25,1,0,3.87,1500,2.407,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.8, 2.8333, 1.8667, 0.9]",4,0.8,manual,956,NA,0,0,0,0,0,0,1000,6300,12.6,63,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
6344,VW Golf Cabrio 1.6 (ab 1996),https://www.auto-motor-und-sport.de/marken-modelle/vw/golf/iii-typ-1h/technische-daten/,ICE,Super Benzin,5-Gang Schaltgetriebe,Vorderradantrieb,66 kW / 90 PS bei 5500 U/min,145 Nm bei 2500 U/min,,13.1,172,100,,0.6345,2.25,1,0,3.67,1260,2.475,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,1781,NA,0,0,0,0,0,0,1000,6000,29,145,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
5240,Seat Leon 1.4 (ab 2005),https://www.auto-motor-und-sport.de/marken-modelle/seat/leon/typ-1p/technische-daten/,ICE,Super Benzin,6-Gang Schaltgetriebe,Vorderradantrieb,90 kW / 122 PS bei 5000 U/min,200 Nm bei 1400 U/min,,9.3,202,100,,0.6345,2.25,1,0,4.1,1224,2.636,0.4,1.35,0.5,1,1,0,0,0,0,0,0,0,0,0,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.8,manual,1395,Turbo,0.5,0,0,0,0,0,1000,5500,40,200,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
4122,Opel Grandland X 1.2 DI Turbo (ab 2017),https://www.auto-motor-und-sport.de/marken-modelle/opel/grandland/1-generation/technische-daten/,Hybrid,Super Benzin,8-Gang Automatikgetriebe,Vorderradantrieb,133 kW / 181 PS bei 6000 U/min,300 Nm bei 3000 U/min,165 kW / 224 PS,8.9,225,100,,0.7,2.75,1,0,4.07,1875,2.675,0.4,1.35,0.5,1,1,0,1,0,0,0,0,0,0,0,performance,1,"[5, 3.2, 2.14, 1.72, 1.31, 1, 0.82, 0.64]",8,0.35,automatic,1598,Turbo,0.5,0,1,0,0,0,1000,6500,60,300,133,0,0,0,0,320,81,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",81,9,0.95,0.95,0.1
559,Audi Q5 e-hybrid quattro 220 kW (ab 2025),https://www.auto-motor-und-sport.de/marken-modelle/audi/q5/gu/technische-daten/,Hybrid,Super Benzin,7-Gang Doppelkupplungsgetriebe,Allradantrieb,185 kW / 252 PS bei 5000 U/min,380 Nm bei 1600 U/min,270 kW / 367 PS,5.1,250,95,battery voltage estimated,0.7,2.75,1,1,3.7,2245,2.82,0.4,1.3,0.5,1,1,0,1,0,0,0,0,0,0,0,performance,1,"[4.38, 2.86, 1.92, 1.37, 1, 0.82, 0.64]",7,0.18,dct,1984,Turbo,0.5,0,1,0,0,0,1000,5500,76,380,185,0,0,0,0,350,85,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,12,0.95,0.95,0.1
4368,Peugeot 3008 Hybrid4 (ab 2012),https://www.auto-motor-und-sport.de/marken-modelle/peugeot/3008/1-generation/technische-daten/,Hybrid,Diesel,6-Gang Automatikgetriebe,Allradantrieb,147 kW / 200 PS bei 3850 U/min,450 Nm bei 1750 U/min,,8.5,191,95,hybrid battery capacity estimated,0.6345,2.25,1,1,4.35,1808,2.613,0.4,1.2,0.5,1,1,0,1,0,0,0,0,0,0,9,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.35,automatic,1997,Turbo,0.5,0,0,0,1,0,1000,4500,90,450,147,0,0,0,0,0,0,0,0,0,0,0,0,100,20,16000,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",54,6,0.95,0.95,0.1
5250,Seat Leon 1.0 eTSI (ab 2021),https://www.auto-motor-und-sport.de/marken-modelle/seat/leon/typ-kl/technische-daten/,Hybrid,Super Benzin,7-Gang Doppelkupplungsgetriebe,Vorderradantrieb,81 kW / 110 PS bei 5500 U/min,200 Nm bei 2000 U/min,,10.8,192,95,mild-hybrid battery capacity estimated,0.6345,2.25,1,0,4.1,1338,2.686,0.4,1.35,0.5,1,1,0,1,0,0,0,0,0,0,0,performance,1,"[4.38, 2.86, 1.92, 1.37, 1, 0.82, 0.64]",7,0.18,dct,999,Turbo,0.5,0,1,0,0,0,1000,6000,40,200,81,0,0,0,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",13,2,0.95,0.95,0.1
1502,Dacia Jogger Eco-G 120 auto 7-Sitzer,https://www.auto-motor-und-sport.de/marken-modelle/dacia/jogger/technische-daten/,Hybrid,Super Benzin,6-Gang Automatikgetriebe,Vorderradantrieb,69 kW / 94 PS bei 5600 U/min,148 Nm bei 3200 U/min,104 kW / 141 PS,9.8,167,95,hybrid battery capacity estimated,0.6345,2.25,1,0,4.1,1432,2.898,0.4,1.35,0.5,1,1,0,1,0,0,0,0,0,0,0,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.35,automatic,1598,NA,0,0,1,0,0,0,1000,6100,29.6,148,69,0,0,0,0,205,35,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",62,6,0.95,0.95,0.1
