RUN_ID,Vehicle_Name,Source_URL,Powertrain,Raw_Fuel,Raw_Gearbox,Raw_Drive,Raw_Power,Raw_Torque,Raw_SystemPower,Actual_0_to_100_s,Actual_max_speed_kmh,InputQualityScore,InputWarnings,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,h_s,weight_dist,MainAxle_TorqueSplit_int,Hybrid_ICE_priority,HybridArchitectureClass,hybrid_p2_cont_factor,hybrid_p2_shift_factor,VM,EV,Hy,E0,E1,E2,E3,E4,i_GET_EV,i_ges_P4,EV_2speed_enable,i_GET_EV_gear1,i_GET_EV_gear2,i_ges_P4_gear1,i_ges_P4_gear2,ev_shift_v_up_kmh,ev_shift_v_down_kmh,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Transmission_Type,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,tq_EV_max,Pwr_EV_max_kW,n_EV_max,Pwr_EV_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit
1,"Giulia Typ 105 115",https://www.auto-motor-und-sport.de/marken-modelle/alfa-romeo/giulia/typ-105-115/technische-daten/,ICE,Super Benzin,5-Gang Schaltgetriebe,Hinterradantrieb,65 kW / 89 PS bei 6000 U/min,140 Nm bei 3200 U/min,,12.8,165,90,"vehicle name repaired from AMS URL",0.6345,2.25,0,0,4.1,1010,2.51,0.4,1.1,0.5,1,none,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[3.54, 2.05, 1.32, 1.03, 0.85]",5,0.8,manual,1290,NA,0,0,0,0,0,0,1000,6500,28,140,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
2,"Giulia Typ 952",https://www.auto-motor-und-sport.de/marken-modelle/alfa-romeo/giulia/typ-952/technische-daten/,ICE,Super Benzin,8-Gang Automatikgetriebe,Hinterradantrieb,147 kW / 200 PS bei 4500 U/min,330 Nm bei 1750 U/min,,6.6,235,90,"vehicle name repaired from AMS URL",0.6345,2.25,0,0,4.1,1504,2.82,0.4,1.1,0.5,1,none,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[5, 3.2, 2.14, 1.72, 1.31, 1, 0.82, 0.64]",8,0.35,automatic,1995,Turbo,0.5,0,0,0,0,0,1000,5000,66,330,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
3,"Giulia Typ 952",https://www.auto-motor-und-sport.de/marken-modelle/alfa-romeo/giulia/typ-952/technische-daten/,ICE,Super Benzin,8-Gang Automatikgetriebe,Allradantrieb,206 kW / 280 PS bei 5250 U/min,400 Nm bei 2250 U/min,,5.2,240,90,"vehicle name repaired from AMS URL",0.6345,2.25,1,1,3.7,1605,2.82,0.4,1.2,0.5,1,none,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[5, 3.2, 2.14, 1.72, 1.31, 1, 0.82, 0.64]",8,0.35,automatic,1995,Turbo,0.5,0,0,0,0,0,1000,5800,80,400,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
4,"Giulia Typ 952",https://www.auto-motor-und-sport.de/marken-modelle/alfa-romeo/giulia/typ-952/technische-daten/,ICE,Super Plus,6-Gang Schaltgetriebe,Hinterradantrieb,375 kW / 510 PS bei 6500 U/min,600 Nm bei 2500 U/min,,3.9,307,90,"vehicle name repaired from AMS URL",0.6345,2.25,0,0,3.09,1670,2.82,0.4,1.1,0.5,1,none,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.8,manual,2891,Turbo,0.5,0,0,0,0,0,1000,7000,120,600,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
5,"Alfa Romeo Junior",https://www.auto-motor-und-sport.de/marken-modelle/alfa-romeo/junior/technische-daten/,Hybrid,Super Benzin,6-Gang Doppelkupplungsgetriebe,Vorderradantrieb,100 kW / 136 PS bei 5750 U/min,230 Nm bei 1500 U/min,,8.9,200,90,"vehicle name repaired from AMS URL | battery discharge capability raised for electric power plausibility: P_req=21.0 kW, Icell 15.0->60.0 A, n_p=9",0.7,2.75,1,0,4.1,1380,2.562,0.4,1.35,0.5,1,p2_hev,0.2,0.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.22,dct,1199,Turbo,0.5,0,1,0,0,0,1000,6300,46,230,100,0,0,0,0,55,21,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,60,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",13,9,0.95,0.95,0.1
6,"Alfa Romeo Junior",https://www.auto-motor-und-sport.de/marken-modelle/alfa-romeo/junior/technische-daten/,Hybrid,Super Benzin,6-Gang Doppelkupplungsgetriebe,Allradantrieb,100 kW / 136 PS bei 5750 U/min,230 Nm bei 1500 U/min,,9.1,200,90,"vehicle name repaired from AMS URL | battery discharge capability raised for electric power plausibility: P_req=21.0 kW, Icell 15.0->60.0 A, n_p=9",0.7,2.75,1,1,3.7,1575,2.562,0.4,1.3,0.5,1,p2_hev,0.2,0.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[4.05, 2.4, 1.58, 1.19, 1, 0.87]",6,0.22,dct,1199,Turbo,0.5,0,1,0,0,0,1000,6300,46,230,100,0,0,0,0,55,21,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,60,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",13,9,0.95,0.95,0.1
7,"Alfa Romeo Stelvio",https://www.auto-motor-und-sport.de/marken-modelle/alfa-romeo/stelvio/technische-daten/,ICE,Super Benzin,8-Gang Automatikgetriebe,Allradantrieb,147 kW / 200 PS bei 4500 U/min,330 Nm bei 1750 U/min,,7.2,215,90,"vehicle name repaired from AMS URL",0.7,2.75,1,1,3.7,1735,2.818,0.4,1.3,0.5,1,none,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[5, 3.2, 2.14, 1.72, 1.31, 1, 0.82, 0.64]",8,0.35,automatic,1995,Turbo,0.5,0,0,0,0,0,1000,5000,66,330,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
8,"Alfa Romeo Stelvio",https://www.auto-motor-und-sport.de/marken-modelle/alfa-romeo/stelvio/technische-daten/,ICE,Super Benzin,8-Gang Automatikgetriebe,Allradantrieb,206 kW / 280 PS bei 5250 U/min,400 Nm bei 2250 U/min,,5.7,230,90,"vehicle name repaired from AMS URL",0.7,2.75,1,1,3.73,1735,2.818,0.4,1.3,0.5,1,none,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[5, 3.2, 2.14, 1.72, 1.31, 1, 0.82, 0.64]",8,0.35,automatic,1995,Turbo,0.5,0,0,0,0,0,1000,5800,80,400,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
9,"Alfa Romeo Stelvio",https://www.auto-motor-und-sport.de/marken-modelle/alfa-romeo/stelvio/technische-daten/,ICE,Super Benzin,8-Gang Automatikgetriebe,Allradantrieb,375 kW / 510 PS bei 6500 U/min,600 Nm bei 2500 U/min,,3.8,283,85,"vehicle name repaired from AMS URL | final drive estimated",0.7,2.75,1,1,3.7,1905,2.818,0.4,1.3,0.5,1,none,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[5, 3.2, 2.14, 1.72, 1.31, 1, 0.82, 0.64]",8,0.35,automatic,2891,Turbo,0.5,0,0,0,0,0,1000,7000,120,600,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
10,"Giulia Typ 952",https://www.auto-motor-und-sport.de/marken-modelle/alfa-romeo/giulia/typ-952/technische-daten/,ICE,Super Benzin,8-Gang Automatikgetriebe,Allradantrieb,206 kW / 280 PS bei 5250 U/min,400 Nm bei 2250 U/min,,5.2,240,90,"vehicle name repaired from AMS URL",0.6345,2.25,1,1,3.7,1605,2.82,0.4,1.2,0.5,1,none,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,performance,1,"[5, 3.2, 2.14, 1.72, 1.31, 1, 0.82, 0.64]",8,0.35,automatic,1995,Turbo,0.5,0,0,0,0,0,1000,5800,80,400,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",1,1,0.95,0.95,0.1
