RUN_ID,Powertrain,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,h_s,weight_dist,MainAxle_TorqueSplit_int,Hybrid_ICE_priority,VM,EV,Hy,i_GET_EV,i_ges_P4,mode,use_cus_val,Gear_Ratio,No_Gears,shiftDelay,Displacement_cc,Induction_Type,Boost_Pressure_bar,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc,Cell_Cap_Ah,Cell_V_nom,Cell_R_inner,Cell_V_min,Cell_V_max,Cell_I_max_chg,Cell_I_max_dis,SOC_Vector,Cell_OCV_Vector,n_s,n_p,facSocInit,SOC_Recup_Limit,SOC_Bat_Discharge_Limit
3624,ICE,0.6735,2.71395,0,0,5.13,1020,2.2,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.65, 1.95, 1.4, 1.0, 0.86]",5,1.2,1589,NA,0,0,0,0,0,0,1000,6500,25.4,127,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
2919,ICE,0.6683,2.735028,1,0,4.18,1495,2.817,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.54, 1.92, 1.32, 0.98, 0.76, 0.65]",6,0.6,1598,NA,0,0,0,0,0,0,1000,6500,48,240,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
3269,ICE,0.7121,3.0194,0,0,2.81,2565,3.295,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[5.0, 3.2, 2.14, 1.72, 1.31, 1.0, 0.84, 0.67]",8,0.2,6592,Turbo,1.5,0,0,0,0,0,1000,5500,168,840,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
1567,ICE,0.6533,2.2135,1,1,3.08,1410,2.56,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.31, 2.05, 1.46, 1.14, 0.94, 0.78]",6,0.06,5204,NA,0,0,0,0,0,0,1000,8500,108,540,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
1191,ICE,0.7373,3.53974,1,0,3.2,2220,2.805,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.15, 2.37, 1.56, 1.16, 0.86, 0.69]",6,0.8,2959,Turbo,0,0,0,0,0,0,1000,4500,90.2,451,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
721,ICE,0.703,2.55819,0,0,2.81,1915,2.822,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[5.5, 3.52, 2.2, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.2,2998,Turbo,0,0,0,0,0,0,1000,6500,100,500,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
3972,ICE,0.6006,3.11202,1,0,4.27,1140,2.6,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.45, 2.1, 1.45, 1.1, 0.85]",5,1.2,1390,NA,0,0,0,0,0,0,1000,6500,23.2,116,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
4806,Hybrid,0.62,2.547,1,0,4,1585,2.62,0.4,1,0.5,1,0,0,1,0,0,performance,1,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.6,3152,NA,0,0,1,0,0,0,750,6500,24.4,122,72,0,0,0,0,300,145,10000,0.04,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
1564,ICE,0.6533,2.2135,1,1,3.08,1405,2.56,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[3.31, 2.05, 1.46, 1.14, 0.94, 0.78]",6,0.06,4961,NA,0,0,0,0,0,0,1000,8500,102,510,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
3232,ICE,0.6683,2.5354,1,0,3.8,1555,2.693,0.4,1,0.5,1,1,0,0,0,0,performance,1,"[4.2, 2.41, 1.58, 1.16, 0.86, 0.69]",6,0.8,3498,NA,0,0,0,0,0,0,1000,6500,54,270,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.7,0.023,2.5,4.2,4.8,15,"[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[2.8, 3.3, 3.45, 3.52, 3.60, 3.68, 3.75, 3.85, 3.95, 4.1, 4.2]",96,46,0.95,0.95,0.1
