RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,i_ges_P4,Gear_Ratio,No_Gears,shiftDelay,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc
1,0.62,2.67468,1,0,4,1380,2.562,0,"[3.62, 2.19, 1.52, 1.06, 0.84, 0.69]",6,0.35,1,0,0,0,0,750,6500,46,230,100,55,21,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
2,0.62,2.67468,1,1,3.8,1575,2.562,0,"[3.45, 2.09, 1.43, 1.0, 0.78, 0.65]",6,0.35,1,0,0,0,0,750,6500,46,230,100,55,21,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
3,0.68,3.179913,1,1,3.8,1910,2.636,3.8,"[3.45, 2.09, 1.43, 1.0, 0.78, 0.65]",6,0.35,0,0,0,1,0,750,6500,54,270,110,0,0,0,0,0,0,0,0,0,0,0,0,250,90,15000,0.04
4,0.68,3.179913,1,1,3.8,1910,2.636,3.8,"[3.45, 2.09, 1.43, 1.0, 0.78, 0.65]",6,0.35,0,1,0,1,0,750,6500,48,240,118,0,0,0,0,250,90,10000,0.04,0,0,0,0,166,50,15000,0.04
5,0.68,3.179913,1,0,4,1600,2.636,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.35,1,0,0,0,0,750,6500,48,240,118,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
6,0.62,2.488031,1,1,3.8,1575,2.562,0,"[3.45, 2.09, 1.43, 1.0, 0.78, 0.65]",6,0.6,1,0,0,0,0,750,6500,46,230,100,55,21,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
7,0.62,2.488031,1,0,4,1600,2.636,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.6,1,0,0,0,0,750,6500,48,240,96,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
8,0.62,2.599416,1,1,3.8,2020,2.856,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.1,1,0,0,0,0,750,7000,146,730,261,55,8,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
9,0.65,2.654256,1,0,4,1737,2.73,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.1,1,0,0,0,0,750,6500,50,250,118,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
10,0.61,2.205112,1,0,4,1390,2.618,0,"[3.19, 2.19, 1.52, 1.06, 0.74, 0.56, 0.43]",7,0.2,1,0,0,0,0,750,6500,40,200,81,50,9,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
11,0.62,2.474736,1,0,4,1395,2.636,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.6,1,0,0,0,0,750,6500,50,250,110,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
12,0.62,2.45403,1,0,4,1425,2.628,0,"[3.5, 2.09, 1.43, 0.93, 0.78, 0.65]",6,0.6,1,0,0,0,0,750,6500,50,250,110,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
13,0.62,2.45403,1,0,4,1395,2.636,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.6,1,0,0,0,0,750,6500,50,250,110,55,12,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
14,0.62,2.45403,1,0,4,1635,2.63,0,"[3.5, 2.77, 1.85, 1.02, 1.02, 0.84]",6,0.1,0,1,0,0,0,750,6500,50,250,110,0,0,0,0,330,80,10000,0.04,0,0,0,0,0,0,0,0
